//
//     Generated by class-dump 3.5 (64 bit) — routine listing.
//
// image:   /var/folders/hq/s7n8_wx50wd3vxklqrz_yt6m0000gn/T/class-dump-dsc-B7C5B4B8-77DD-4B91-9883-FAC9B827A9D5/usr/lib/libfakelink.dylib
// arch:    arm64e
// uuid:    C7FBDAB2-BA25-3B1B-924B-6CD5EB501D3D
// text:    0x0000000190342000
// count:   36 routines
//
// columns: addr  size  segment,section  kind  name [demangled] [objc-binding]
//
0x0000000190342638  0x00000018  __TEXT,__text  func  fakelink_get_property
0x0000000190342650  0x000000d8  __TEXT,__text  func  fakelink_group_new
0x0000000190342728  0x00000170  __TEXT,__text  func  fakelink_volume_new
0x0000000190342898  0x00000038  __TEXT,__text  func  fakelink_group_add
0x00000001903428d0  0x00000148  __TEXT,__text  func  fakelink_group_resolve
0x0000000190342a18  0x000001dc  __TEXT,__text  func  _fakelink_group_once
0x0000000190342bf4  0x00000394  __TEXT,__text  func  _fakelink_group_init_manifest
0x0000000190342f88  0x0000003c  __TEXT,__text  func  _fakelink_group_volume_mntpoint
0x0000000190342fc4  0x00000060  __TEXT,__text  func  _path_is_subpath
0x0000000190343024  0x000000c4  __TEXT,__text  func  _path_construct
0x00000001903430e8  0x00000050  __TEXT,__text  func  fakelink_volume_free
0x0000000190343138  0x0000009c  __TEXT,__text  func  fakelink_group_set_manifest_path
0x00000001903431d4  0x0000009c  __TEXT,__text  func  fakelink_group_set_synthetic_conf_path
0x0000000190343270  0x0000014c  __TEXT,__text  func  fakelink_group_unresolve
0x00000001903433bc  0x0000000c  __TEXT,__text  func  fakelink_group_iterate_mappings
0x00000001903433c8  0x000001e8  __TEXT,__text  func  fakelink_group_iterate_mappings_with_filter
0x00000001903435b0  0x00000064  __TEXT,__text  func  fakelink_group_free
0x0000000190343614  0x00000098  __TEXT,__text  func  _fakelink_manifest_destroy
0x00000001903436ac  0x00000078  __TEXT,__text  func  OUTLINED_FUNCTION_0
0x0000000190343724  0x00000030  __TEXT,__text  func  OUTLINED_FUNCTION_1
0x0000000190343754  0x00000038  __TEXT,__text  func  OUTLINED_FUNCTION_2
0x000000019034378c  0x00000034  __TEXT,__text  func  OUTLINED_FUNCTION_3
0x00000001903437c0  0x00000024  __TEXT,__text  func  OUTLINED_FUNCTION_4
0x00000001903437e4  0x0000001c  __TEXT,__text  func  OUTLINED_FUNCTION_5
0x0000000190343800  0x00000018  __TEXT,__text  func  OUTLINED_FUNCTION_6
0x0000000190343818  0x00000018  __TEXT,__text  func  OUTLINED_FUNCTION_7
0x0000000190343830  0x00000048  __TEXT,__text  func  fakelink_volume_new.cold.2  // aliases: fakelink_group_set_manifest_path.cold.1, fakelink_group_set_synthetic_conf_path.cold.1, fakelink_volume_new.cold.1
0x0000000190343878  0x00000078  __TEXT,__text  func  fakelink_volume_new.cold.3
0x00000001903438f0  0x00000074  __TEXT,__text  func  fakelink_volume_new.cold.4
0x0000000190343964  0x0000001c  __TEXT,__text  func  fakelink_volume_new.cold.5
0x0000000190343980  0x00000074  __TEXT,__text  func  fakelink_group_new.cold.1
0x00000001903439f4  0x00000084  __TEXT,__text  func  _fakelink_group_once.cold.1
0x0000000190343a78  0x0000001c  __TEXT,__text  func  _fakelink_group_volume_mntpoint.cold.1
0x0000000190343a94  0x0000041c  __TEXT,__text  func  _fakelink_group_init_manifest.cold.1
0x0000000190343eb0  0x00000030  __TEXT,__const  func  _src_unset
0x0000000190343ee0  0x00000000  __TEXT,__const  func  _dst_unset
