//
//     Generated by class-dump 3.5 (64 bit) — routine listing.
//
// image:   /var/folders/hq/s7n8_wx50wd3vxklqrz_yt6m0000gn/T/class-dump-dsc-E97277E0-AA93-4B8F-8728-7A7EC5985FC6/System/Library/PrivateFrameworks/SiriEntityMatcher.framework/Versions/A/SiriEntityMatcher
// arch:    arm64e
// uuid:    C056D94B-F9E4-31E6-8B40-290D501FE827
// text:    0x0000000268dd3000
// count:   1693 routines
//
// columns: addr  size  segment,section  kind  name [demangled] [objc-binding]
//
0x0000000268dd4fc8  0x00000030  __TEXT,__text  sub  sub_268dd4fc8
0x0000000268dd4ff8  0x00000034  __TEXT,__text  sub  sub_268dd4ff8
0x0000000268dd502c  0x00000084  __TEXT,__text  sub  sub_268dd502c
0x0000000268dd50b0  0x000000c4  __TEXT,__text  sub  sub_268dd50b0
0x0000000268dd5174  0x00000278  __TEXT,__text  sub  sub_268dd5174
0x0000000268dd53ec  0x000000b0  __TEXT,__text  sub  sub_268dd53ec
0x0000000268dd549c  0x00000024  __TEXT,__text  sub  sub_268dd549c
0x0000000268dd54c0  0x00000030  __TEXT,__text  sub  sub_268dd54c0
0x0000000268dd54f0  0x00000024  __TEXT,__text  sub  sub_268dd54f0
0x0000000268dd5514  0x00000030  __TEXT,__text  sub  sub_268dd5514
0x0000000268dd5544  0x00000024  __TEXT,__text  sub  sub_268dd5544
0x0000000268dd5568  0x00000030  __TEXT,__text  sub  sub_268dd5568
0x0000000268dd5598  0x00000050  __TEXT,__text  sub  sub_268dd5598
0x0000000268dd55e8  0x00000154  __TEXT,__text  sub  sub_268dd55e8
0x0000000268dd573c  0x000000c4  __TEXT,__text  sub  sub_268dd573c
0x0000000268dd5800  0x00000448  __TEXT,__text  sub  sub_268dd5800
0x0000000268dd5c48  0x00000038  __TEXT,__text  sub  sub_268dd5c48
0x0000000268dd5c80  0x00000100  __TEXT,__text  sub  sub_268dd5c80
0x0000000268dd5d80  0x00000030  __TEXT,__text  sub  sub_268dd5d80
0x0000000268dd5db0  0x00000010  __TEXT,__text  sub  sub_268dd5db0
0x0000000268dd5dc0  0x00000020  __TEXT,__text  sub  sub_268dd5dc0
0x0000000268dd5de0  0x00000044  __TEXT,__text  sub  sub_268dd5de0
0x0000000268dd5e24  0x0000004c  __TEXT,__text  sub  sub_268dd5e24
0x0000000268dd5e70  0x00000130  __TEXT,__text  sub  sub_268dd5e70
0x0000000268dd5fa0  0x00000004  __TEXT,__text  sub  sub_268dd5fa0
0x0000000268dd5fa4  0x00000064  __TEXT,__text  sub  sub_268dd5fa4
0x0000000268dd6008  0x00000058  __TEXT,__text  sub  sub_268dd6008
0x0000000268dd6060  0x00000014  __TEXT,__text  sub  sub_268dd6060
0x0000000268dd6074  0x00000010  __TEXT,__text  sub  sub_268dd6074
0x0000000268dd6084  0x00000010  __TEXT,__text  sub  sub_268dd6084
0x0000000268dd6094  0x00000018  __TEXT,__text  sub  sub_268dd6094
0x0000000268dd60ac  0x00000338  __TEXT,__text  sub  sub_268dd60ac
0x0000000268dd63e4  0x00000004  __TEXT,__text  sub  sub_268dd63e4
0x0000000268dd63e8  0x00000004  __TEXT,__text  sub  sub_268dd63e8
0x0000000268dd63ec  0x00000004  __TEXT,__text  sub  sub_268dd63ec
0x0000000268dd63f0  0x00000070  __TEXT,__text  sub  sub_268dd63f0
0x0000000268dd6460  0x00000014  __TEXT,__text  sub  sub_268dd6460
0x0000000268dd6474  0x00000004  __TEXT,__text  sub  sub_268dd6474
0x0000000268dd6478  0x00000038  __TEXT,__text  sub  sub_268dd6478
0x0000000268dd64b0  0x000001bc  __TEXT,__text  sub  sub_268dd64b0
0x0000000268dd666c  0x000000b4  __TEXT,__text  sub  sub_268dd666c
0x0000000268dd6720  0x00000108  __TEXT,__text  sub  sub_268dd6720
0x0000000268dd6828  0x000001d4  __TEXT,__text  sub  sub_268dd6828
0x0000000268dd69fc  0x00000344  __TEXT,__text  sub  sub_268dd69fc
0x0000000268dd6d40  0x000001d4  __TEXT,__text  sub  sub_268dd6d40
0x0000000268dd6f14  0x00000348  __TEXT,__text  sub  sub_268dd6f14
0x0000000268dd725c  0x00000230  __TEXT,__text  sub  sub_268dd725c
0x0000000268dd748c  0x00000f5c  __TEXT,__text  sub  sub_268dd748c
0x0000000268dd83e8  0x000000bc  __TEXT,__text  sub  sub_268dd83e8
0x0000000268dd84a4  0x00000104  __TEXT,__text  sub  sub_268dd84a4
0x0000000268dd85a8  0x00000080  __TEXT,__text  sub  sub_268dd85a8
0x0000000268dd8628  0x000005ec  __TEXT,__text  sub  sub_268dd8628
0x0000000268dd8c14  0x000001c4  __TEXT,__text  sub  sub_268dd8c14
0x0000000268dd8dd8  0x00000244  __TEXT,__text  sub  sub_268dd8dd8
0x0000000268dd901c  0x00000344  __TEXT,__text  sub  sub_268dd901c
0x0000000268dd9360  0x0000018c  __TEXT,__text  sub  sub_268dd9360
0x0000000268dd94ec  0x000000e4  __TEXT,__text  sub  sub_268dd94ec
0x0000000268dd95d0  0x000000bc  __TEXT,__text  sub  sub_268dd95d0
0x0000000268dd968c  0x000001c0  __TEXT,__text  sub  sub_268dd968c
0x0000000268dd984c  0x00000010  __TEXT,__text  sub  sub_268dd984c
0x0000000268dd985c  0x0000000c  __TEXT,__text  sub  sub_268dd985c
0x0000000268dd9868  0x0000007c  __TEXT,__text  sub  sub_268dd9868
0x0000000268dd98e4  0x00000088  __TEXT,__text  sub  sub_268dd98e4
0x0000000268dd996c  0x00000014  __TEXT,__text  sub  sub_268dd996c
0x0000000268dd9980  0x00000070  __TEXT,__text  sub  sub_268dd9980
0x0000000268dd99f0  0x0000006c  __TEXT,__text  sub  sub_268dd99f0
0x0000000268dd9a5c  0x0000009c  __TEXT,__text  sub  sub_268dd9a5c
0x0000000268dd9af8  0x00000014  __TEXT,__text  sub  sub_268dd9af8
0x0000000268dd9b0c  0x00000070  __TEXT,__text  sub  sub_268dd9b0c
0x0000000268dd9b7c  0x00000024  __TEXT,__text  sub  sub_268dd9b7c
0x0000000268dd9ba0  0x00000004  __TEXT,__text  sub  sub_268dd9ba0
0x0000000268dd9ba4  0x00000018  __TEXT,__text  sub  sub_268dd9ba4
0x0000000268dd9bbc  0x00000024  __TEXT,__text  sub  sub_268dd9bbc
0x0000000268dd9be0  0x0000006c  __TEXT,__text  sub  sub_268dd9be0
0x0000000268dd9c4c  0x00000014  __TEXT,__text  sub  sub_268dd9c4c
0x0000000268dd9c60  0x00000070  __TEXT,__text  sub  sub_268dd9c60
0x0000000268dd9cd0  0x00000044  __TEXT,__text  sub  sub_268dd9cd0
0x0000000268dd9d14  0x00000004  __TEXT,__text  sub  sub_268dd9d14
0x0000000268dd9d18  0x00000018  __TEXT,__text  sub  sub_268dd9d18
0x0000000268dd9d30  0x00000044  __TEXT,__text  sub  sub_268dd9d30
0x0000000268dd9d74  0x0000006c  __TEXT,__text  sub  sub_268dd9d74
0x0000000268dd9de0  0x00000018  __TEXT,__text  sub  sub_268dd9de0
0x0000000268dd9df8  0x0000005c  __TEXT,__text  sub  sub_268dd9df8
0x0000000268dd9e54  0x00000034  __TEXT,__text  sub  sub_268dd9e54
0x0000000268dd9e88  0x00000034  __TEXT,__text  sub  sub_268dd9e88
0x0000000268dd9ebc  0x00000040  __TEXT,__text  sub  sub_268dd9ebc
0x0000000268dd9efc  0x00000054  __TEXT,__text  sub  sub_268dd9efc
0x0000000268dd9f50  0x00000054  __TEXT,__text  sub  sub_268dd9f50
0x0000000268dd9fa4  0x0000003c  __TEXT,__text  sub  sub_268dd9fa4
0x0000000268dd9fe0  0x000000d0  __TEXT,__text  sub  sub_268dd9fe0
0x0000000268dda0b0  0x0000011c  __TEXT,__text  sub  sub_268dda0b0
0x0000000268dda1cc  0x00000044  __TEXT,__text  sub  sub_268dda1cc
0x0000000268dda210  0x00000080  __TEXT,__text  sub  sub_268dda210
0x0000000268dda290  0x0000009c  __TEXT,__text  sub  sub_268dda290
0x0000000268dda32c  0x00000018  __TEXT,__text  sub  sub_268dda32c
0x0000000268dda344  0x00000058  __TEXT,__text  sub  sub_268dda344
0x0000000268dda39c  0x000000c4  __TEXT,__text  sub  sub_268dda39c
0x0000000268dda460  0x00000038  __TEXT,__text  sub  sub_268dda460
0x0000000268dda498  0x00000048  __TEXT,__text  sub  sub_268dda498
0x0000000268dda4e0  0x00000038  __TEXT,__text  sub  sub_268dda4e0
0x0000000268dda518  0x0000005c  __TEXT,__text  sub  sub_268dda518
0x0000000268dda574  0x000000bc  __TEXT,__text  sub  sub_268dda574
0x0000000268dda630  0x00000148  __TEXT,__text  sub  sub_268dda630
0x0000000268dda778  0x00000058  __TEXT,__text  sub  sub_268dda778
0x0000000268dda7d0  0x00000064  __TEXT,__text  sub  sub_268dda7d0
0x0000000268dda834  0x000000a8  __TEXT,__text  sub  sub_268dda834
0x0000000268dda8dc  0x00000058  __TEXT,__text  sub  sub_268dda8dc
0x0000000268dda934  0x00000038  __TEXT,__text  sub  sub_268dda934
0x0000000268dda96c  0x0000005c  __TEXT,__text  sub  sub_268dda96c
0x0000000268dda9c8  0x00000154  __TEXT,__text  sub  sub_268dda9c8
0x0000000268ddab1c  0x00000084  __TEXT,__text  sub  sub_268ddab1c
0x0000000268ddaba0  0x00000044  __TEXT,__text  sub  sub_268ddaba0
0x0000000268ddabe4  0x00000054  __TEXT,__text  sub  sub_268ddabe4
0x0000000268ddac38  0x00000054  __TEXT,__text  sub  sub_268ddac38
0x0000000268ddac8c  0x000010a8  __TEXT,__text  sub  sub_268ddac8c
0x0000000268ddbd34  0x000001c0  __TEXT,__text  sub  sub_268ddbd34
0x0000000268ddbef4  0x00000410  __TEXT,__text  sub  sub_268ddbef4
0x0000000268ddc304  0x000000a4  __TEXT,__text  sub  sub_268ddc304
0x0000000268ddc3a8  0x000000ec  __TEXT,__text  sub  sub_268ddc3a8
0x0000000268ddc494  0x00000084  __TEXT,__text  sub  sub_268ddc494
0x0000000268ddc518  0x00000074  __TEXT,__text  sub  sub_268ddc518
0x0000000268ddc58c  0x00000064  __TEXT,__text  sub  sub_268ddc58c
0x0000000268ddc5f0  0x00000020  __TEXT,__text  sub  sub_268ddc5f0
0x0000000268ddc610  0x00000054  __TEXT,__text  sub  sub_268ddc610
0x0000000268ddc664  0x0000001c  __TEXT,__text  sub  sub_268ddc664
0x0000000268ddc680  0x00000004  __TEXT,__text  sub  sub_268ddc680
0x0000000268ddc684  0x00000108  __TEXT,__text  sub  sub_268ddc684
0x0000000268ddc78c  0x00000168  __TEXT,__text  sub  sub_268ddc78c
0x0000000268ddc8f4  0x000000b4  __TEXT,__text  sub  sub_268ddc8f4
0x0000000268ddc9a8  0x00000040  __TEXT,__text  sub  sub_268ddc9a8
0x0000000268ddc9e8  0x00000050  __TEXT,__text  sub  sub_268ddc9e8
0x0000000268ddca38  0x00000120  __TEXT,__text  sub  sub_268ddca38
0x0000000268ddcb58  0x00000108  __TEXT,__text  sub  sub_268ddcb58
0x0000000268ddcc60  0x000000a4  __TEXT,__text  sub  sub_268ddcc60
0x0000000268ddcd04  0x000003d8  __TEXT,__text  sub  sub_268ddcd04
0x0000000268ddd0dc  0x000001ec  __TEXT,__text  sub  sub_268ddd0dc
0x0000000268ddd2c8  0x000000fc  __TEXT,__text  sub  sub_268ddd2c8
0x0000000268ddd3c4  0x000005e0  __TEXT,__text  sub  sub_268ddd3c4
0x0000000268ddd9a4  0x000000a4  __TEXT,__text  sub  sub_268ddd9a4
0x0000000268ddda48  0x000001a4  __TEXT,__text  sub  sub_268ddda48
0x0000000268dddbec  0x00000048  __TEXT,__text  sub  sub_268dddbec
0x0000000268dddc34  0x00000088  __TEXT,__text  sub  sub_268dddc34
0x0000000268dddcbc  0x00000050  __TEXT,__text  sub  sub_268dddcbc
0x0000000268dddd0c  0x000000d4  __TEXT,__text  sub  sub_268dddd0c
0x0000000268dddde0  0x00000068  __TEXT,__text  sub  sub_268dddde0
0x0000000268ddde48  0x00000050  __TEXT,__text  sub  sub_268ddde48
0x0000000268ddde98  0x00000090  __TEXT,__text  sub  sub_268ddde98
0x0000000268dddf28  0x00000070  __TEXT,__text  sub  sub_268dddf28
0x0000000268dddf98  0x00000058  __TEXT,__text  sub  sub_268dddf98
0x0000000268dddff0  0x00000034  __TEXT,__text  sub  sub_268dddff0
0x0000000268dde024  0x00000050  __TEXT,__text  sub  sub_268dde024
0x0000000268dde074  0x000000b0  __TEXT,__text  sub  sub_268dde074
0x0000000268dde124  0x00000154  __TEXT,__text  sub  sub_268dde124
0x0000000268dde278  0x000000ec  __TEXT,__text  sub  sub_268dde278
0x0000000268dde364  0x00000004  __TEXT,__text  sub  sub_268dde364
0x0000000268dde368  0x00000014  __TEXT,__text  sub  sub_268dde368
0x0000000268dde37c  0x00000018  __TEXT,__text  sub  sub_268dde37c
0x0000000268dde394  0x00000024  __TEXT,__text  sub  sub_268dde394
0x0000000268dde3b8  0x000000b8  __TEXT,__text  sub  sub_268dde3b8
0x0000000268dde470  0x000002a0  __TEXT,__text  sub  sub_268dde470
0x0000000268dde710  0x00000038  __TEXT,__text  sub  sub_268dde710
0x0000000268dde748  0x0000007c  __TEXT,__text  sub  sub_268dde748
0x0000000268dde7c4  0x0000006c  __TEXT,__text  sub  sub_268dde7c4
0x0000000268dde830  0x00000048  __TEXT,__text  sub  sub_268dde830
0x0000000268dde878  0x000001dc  __TEXT,__text  sub  sub_268dde878
0x0000000268ddea54  0x00000288  __TEXT,__text  sub  sub_268ddea54
0x0000000268ddecdc  0x00000440  __TEXT,__text  sub  sub_268ddecdc
0x0000000268ddf11c  0x00000720  __TEXT,__text  sub  sub_268ddf11c
0x0000000268ddf83c  0x00000064  __TEXT,__text  sub  sub_268ddf83c
0x0000000268ddf8a0  0x000002bc  __TEXT,__text  sub  sub_268ddf8a0
0x0000000268ddfb5c  0x00000cf8  __TEXT,__text  sub  sub_268ddfb5c
0x0000000268de0854  0x0000033c  __TEXT,__text  sub  sub_268de0854
0x0000000268de0b90  0x000000dc  __TEXT,__text  sub  sub_268de0b90
0x0000000268de0c6c  0x0000027c  __TEXT,__text  sub  sub_268de0c6c
0x0000000268de0ee8  0x00000098  __TEXT,__text  sub  sub_268de0ee8
0x0000000268de0f80  0x000000dc  __TEXT,__text  sub  sub_268de0f80
0x0000000268de105c  0x00000130  __TEXT,__text  sub  sub_268de105c
0x0000000268de118c  0x00000060  __TEXT,__text  sub  sub_268de118c
0x0000000268de11ec  0x00000054  __TEXT,__text  sub  sub_268de11ec
0x0000000268de1240  0x00000280  __TEXT,__text  sub  sub_268de1240
0x0000000268de14c0  0x00000088  __TEXT,__text  sub  sub_268de14c0
0x0000000268de1548  0x000000c0  __TEXT,__text  sub  sub_268de1548
0x0000000268de1608  0x000000a8  __TEXT,__text  sub  sub_268de1608
0x0000000268de16b0  0x00000084  __TEXT,__text  sub  sub_268de16b0
0x0000000268de1734  0x000001d0  __TEXT,__text  sub  sub_268de1734
0x0000000268de1904  0x000000d0  __TEXT,__text  sub  sub_268de1904
0x0000000268de19d4  0x000000a0  __TEXT,__text  sub  sub_268de19d4
0x0000000268de1a74  0x00000074  __TEXT,__text  sub  sub_268de1a74
0x0000000268de1ae8  0x00000074  __TEXT,__text  sub  sub_268de1ae8
0x0000000268de1b5c  0x00000134  __TEXT,__text  sub  sub_268de1b5c
0x0000000268de1c90  0x00000048  __TEXT,__text  sub  sub_268de1c90
0x0000000268de1cd8  0x000000c0  __TEXT,__text  sub  sub_268de1cd8
0x0000000268de1d98  0x00000038  __TEXT,__text  sub  sub_268de1d98
0x0000000268de1dd0  0x0000004c  __TEXT,__text  sub  sub_268de1dd0
0x0000000268de1e1c  0x00000034  __TEXT,__text  sub  sub_268de1e1c
0x0000000268de1e50  0x00000054  __TEXT,__text  sub  sub_268de1e50
0x0000000268de1ea4  0x00000148  __TEXT,__text  sub  sub_268de1ea4
0x0000000268de1fec  0x00000088  __TEXT,__text  sub  sub_268de1fec
0x0000000268de2074  0x00000074  __TEXT,__text  sub  sub_268de2074
0x0000000268de20e8  0x00000020  __TEXT,__text  sub  sub_268de20e8
0x0000000268de2108  0x00000054  __TEXT,__text  sub  sub_268de2108
0x0000000268de215c  0x00000008  __TEXT,__text  sub  sub_268de215c
0x0000000268de2164  0x00000004  __TEXT,__text  sub  sub_268de2164
0x0000000268de2168  0x000000ac  __TEXT,__text  sub  sub_268de2168
0x0000000268de2214  0x00000020  __TEXT,__text  sub  sub_268de2214
0x0000000268de2234  0x00000054  __TEXT,__text  sub  sub_268de2234
0x0000000268de2288  0x0000001c  __TEXT,__text  sub  sub_268de2288
0x0000000268de22a4  0x00000004  __TEXT,__text  sub  sub_268de22a4
0x0000000268de22a8  0x00000554  __TEXT,__text  sub  sub_268de22a8
0x0000000268de27fc  0x00000504  __TEXT,__text  sub  sub_268de27fc
0x0000000268de2d00  0x00000038  __TEXT,__text  sub  sub_268de2d00
0x0000000268de2d38  0x000005e0  __TEXT,__text  sub  sub_268de2d38
0x0000000268de3318  0x0000009c  __TEXT,__text  sub  sub_268de3318
0x0000000268de33b4  0x00000010  __TEXT,__text  sub  sub_268de33b4
0x0000000268de33c4  0x00000054  __TEXT,__text  sub  sub_268de33c4
0x0000000268de3418  0x0000003c  __TEXT,__text  sub  sub_268de3418
0x0000000268de3454  0x000000e4  __TEXT,__text  sub  sub_268de3454
0x0000000268de3538  0x0000006c  __TEXT,__text  sub  sub_268de3538
0x0000000268de35a4  0x00000114  __TEXT,__text  sub  sub_268de35a4
0x0000000268de36b8  0x00000060  __TEXT,__text  sub  sub_268de36b8
0x0000000268de3718  0x00000048  __TEXT,__text  sub  sub_268de3718
0x0000000268de3760  0x0000003c  __TEXT,__text  sub  sub_268de3760
0x0000000268de379c  0x00000114  __TEXT,__text  sub  sub_268de379c
0x0000000268de38b0  0x00000060  __TEXT,__text  sub  sub_268de38b0
0x0000000268de3910  0x00000080  __TEXT,__text  sub  sub_268de3910
0x0000000268de3990  0x0000007c  __TEXT,__text  sub  sub_268de3990
0x0000000268de3a0c  0x000000f8  __TEXT,__text  sub  sub_268de3a0c
0x0000000268de3b04  0x0000019c  __TEXT,__text  sub  sub_268de3b04
0x0000000268de3ca0  0x000001e4  __TEXT,__text  sub  sub_268de3ca0
0x0000000268de3e84  0x0000055c  __TEXT,__text  sub  sub_268de3e84
0x0000000268de43e0  0x00000418  __TEXT,__text  sub  sub_268de43e0
0x0000000268de47f8  0x000000a4  __TEXT,__text  sub  sub_268de47f8
0x0000000268de489c  0x00001a9c  __TEXT,__text  sub  sub_268de489c
