//
//     Generated by class-dump 3.5 (64 bit) — routine listing.
//
// image:   /var/folders/hq/s7n8_wx50wd3vxklqrz_yt6m0000gn/T/class-dump-dsc-E97277E0-AA93-4B8F-8728-7A7EC5985FC6/System/Library/PrivateFrameworks/SystemOverride.framework/Versions/A/SystemOverride
// arch:    arm64e
// uuid:    C62BF596-F228-3321-8ABA-C4EA7AFD52F2
// text:    0x0000000271e73000
// count:   31 routines
//
// columns: addr  size  segment,section  kind  name [demangled] [objc-binding]
//
0x0000000271e73a50  0x000000c8  __TEXT,__text  func  +[SystemOverride getSystemOverrideForKey:mountPoint:]
0x0000000271e73b18  0x00000094  __TEXT,__text  func  assert_valid_key
0x0000000271e73bac  0x0000007c  __TEXT,__text  func  get_system_overrides
0x0000000271e73c28  0x00000080  __TEXT,__text  func  +[SystemOverride getSystemOverrideForKey:]
0x0000000271e73ca8  0x000000d0  __TEXT,__text  func  +[SystemOverride setSystemOverrideValue:forKey:mountPoint:]
0x0000000271e73d78  0x0000009c  __TEXT,__text  func  set_system_overrides
0x0000000271e73e14  0x00000088  __TEXT,__text  func  +[SystemOverride setSystemOverrideValue:forKey:]
0x0000000271e73e9c  0x00000088  __TEXT,__text  func  +[SystemOverride validSystemOverrideKeys]
0x0000000271e73f24  0x00000168  __TEXT,__text  func  +[SystemOverride resetSystemOverridesForMountPoint:]
0x0000000271e7408c  0x000000cc  __TEXT,__text  func  +[SystemOverride resetSystemOverrides]
0x0000000271e74158  0x00000060  __TEXT,__objc_methlist  func  _OBJC_$_CLASS_METHODS_SystemOverride
0x0000000271e741b8  0x00000048  __TEXT,__const  func  SystemOverrideVersionString
0x0000000271e74200  0x000003a0  __TEXT,__const  func  SystemOverrideVersionNumber
0x0000000271e745a0  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$arrayWithObjects:count:
0x0000000271e745c0  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$boolValue
0x0000000271e745e0  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$containsObject:
0x0000000271e74600  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$countByEnumeratingWithState:objects:count:
0x0000000271e74620  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$dictionaryWithContentsOfURL:
0x0000000271e74640  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$fileURLWithPath:
0x0000000271e74660  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$fileURLWithPath:isDirectory:relativeToURL:
0x0000000271e74680  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$getSystemOverrideForKey:mountPoint:
0x0000000271e746a0  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$numberWithBool:
0x0000000271e746c0  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$objectForKeyedSubscript:
0x0000000271e746e0  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$path
0x0000000271e74700  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$raise:format:
0x0000000271e74720  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$resetSystemOverridesForMountPoint:
0x0000000271e74740  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$setObject:forKeyedSubscript:
0x0000000271e74760  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$setSystemOverrideValue:forKey:mountPoint:
0x0000000271e74780  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$setValue:forKey:
0x0000000271e747a0  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$validSystemOverrideKeys
0x0000000271e747c0  0x00000000  __TEXT,__objc_stubs  func  objc_msgSend$writeToFile:atomically:
