//
//     Generated by class-dump 3.5 (64 bit) — routine listing.
//
// image:   /var/folders/hq/s7n8_wx50wd3vxklqrz_yt6m0000gn/T/class-dump-dsc-E97277E0-AA93-4B8F-8728-7A7EC5985FC6/System/Library/PrivateFrameworks/ShimGameServices.framework/Versions/A/ShimGameServices
// arch:    arm64e
// uuid:    920E3720-F88A-393F-9769-A220FCF018E0
// text:    0x00000002681df000
// count:   1899 routines
//
// columns: addr  size  segment,section  kind  name [demangled] [objc-binding]
//
0x00000002681e0a10  0x00000228  __TEXT,__text  func  +[GKGameDescriptor(NillableShim) gameDescriptorWithAdamID:bundleID:platform:shortBundleVersion:]
0x00000002681e0c38  0x00000014  __TEXT,__text  func  +[GKGameStatServiceInterface(NillableShim) getEntriesForLeaderboard:gameDescriptor:localPlayer:playerScope:timeScope:range:players:locale:from:handler:]
0x00000002681e0c4c  0x0000000c  __TEXT,__text  func  +[GKProfileServiceInterface(NillableShim) getProfilesForPlayerIDs:fetchOptions:from:handler:]
0x00000002681e0c58  0x0000027c  __TEXT,__text  sub  sub_2681e0c58
0x00000002681e0ed4  0x00000004  __TEXT,__text  sub  sub_2681e0ed4
0x00000002681e0ed8  0x00000058  __TEXT,__text  sub  sub_2681e0ed8
0x00000002681e0f30  0x00000058  __TEXT,__text  sub  sub_2681e0f30
0x00000002681e0f88  0x00000020  __TEXT,__text  sub  sub_2681e0f88
0x00000002681e0fa8  0x00000004  __TEXT,__text  sub  sub_2681e0fa8
0x00000002681e0fac  0x00000034  __TEXT,__text  sub  sub_2681e0fac
0x00000002681e0fe0  0x0000004c  __TEXT,__text  sub  sub_2681e0fe0
0x00000002681e102c  0x0000003c  __TEXT,__text  sub  sub_2681e102c
0x00000002681e1068  0x00000044  __TEXT,__text  sub  sub_2681e1068
0x00000002681e10ac  0x0000000c  __TEXT,__text  sub  sub_2681e10ac
0x00000002681e10b8  0x00000040  __TEXT,__text  sub  sub_2681e10b8
0x00000002681e10f8  0x00000048  __TEXT,__text  sub  sub_2681e10f8
0x00000002681e1140  0x00000044  __TEXT,__text  sub  sub_2681e1140
0x00000002681e1184  0x00000010  __TEXT,__text  sub  sub_2681e1184
0x00000002681e1194  0x00000080  __TEXT,__text  sub  sub_2681e1194
0x00000002681e1214  0x00000058  __TEXT,__text  sub  sub_2681e1214
0x00000002681e126c  0x00000038  __TEXT,__text  sub  sub_2681e126c
0x00000002681e12a4  0x00000020  __TEXT,__text  func  __swift_storeEnumTagSinglePayload
0x00000002681e12c4  0x00000010  __TEXT,__text  sub  sub_2681e12c4
0x00000002681e12d4  0x00000004  __TEXT,__text  sub  sub_2681e12d4
0x00000002681e12d8  0x00000004  __TEXT,__text  sub  sub_2681e12d8
0x00000002681e12dc  0x0000001c  __TEXT,__text  sub  sub_2681e12dc
0x00000002681e12f8  0x00000024  __TEXT,__text  sub  sub_2681e12f8
0x00000002681e131c  0x00000020  __TEXT,__text  sub  sub_2681e131c
0x00000002681e133c  0x00000058  __TEXT,__text  sub  sub_2681e133c
0x00000002681e1394  0x00000004  __TEXT,__text  sub  sub_2681e1394
0x00000002681e1398  0x00000014  __TEXT,__text  sub  sub_2681e1398
0x00000002681e13ac  0x00000080  __TEXT,__text  sub  sub_2681e13ac
