//
//     Generated by class-dump 3.5 (64 bit) — routine listing.
//
// image:   /var/folders/hq/s7n8_wx50wd3vxklqrz_yt6m0000gn/T/class-dump-dsc-E97277E0-AA93-4B8F-8728-7A7EC5985FC6/System/iOSSupport/System/Library/AccessibilityBundles/MobileSafariFramework.axbundle/Contents/MacOS/MobileSafariFramework
// arch:    arm64e
// uuid:    171B6563-14B9-3A94-AB3C-C638DF2D7CA3
// text:    0x0000000287314000
// count:   722 routines
//
// columns: addr  size  segment,section  kind  name [demangled] [objc-binding]
//
0x00000002873163fc  0x00000078  __TEXT,__text  objc  -[SFOneStepBookmarkingButtonAccessibility accessibilityLabel]  // -[SFOneStepBookmarkingButtonAccessibility PKPaymentTransactionDetailHeaderViewAccessibility]
0x0000000287316474  0x0000000c  __TEXT,__text  objc  +[SFBookmarksCollectionViewControllerCompactRowCellAccessibility(SafeCategory) safeCategoryTargetClassName]  // +[SFBookmarksCollectionViewControllerCompactRowCellAccessibility insertSubview:aboveSubview:]
0x0000000287316480  0x0000000c  __TEXT,__text  objc  +[SFBookmarksCollectionViewControllerCompactRowCellAccessibility(SafeCategory) safeCategoryBaseClass]  // +[SFBookmarksCollectionViewControllerCompactRowCellAccessibility ?]
0x000000028731648c  0x00000020  __TEXT,__text  objc  +[SFBookmarksCollectionViewControllerCompactRowCellAccessibility _accessibilityPerformValidations:]  // +[SFBookmarksCollectionViewControllerCompactRowCellAccessibility ]
0x00000002873164ac  0x00000008  __TEXT,__text  objc  -[SFBookmarksCollectionViewControllerCompactRowCellAccessibility isAccessibilityElement]  // -[SFBookmarksCollectionViewControllerCompactRowCellAccessibility ?]
0x00000002873164b4  0x000001fc  __TEXT,__text  objc  -[SFBookmarksCollectionViewControllerCompactRowCellAccessibility accessibilityLabel]  // -[SFBookmarksCollectionViewControllerCompactRowCellAccessibility PKCellAccessoryMultiSelectIndicatorAccessibility]
0x00000002873166b0  0x00000048  __TEXT,__text  objc  -[SFBookmarksCollectionViewControllerCompactRowCellAccessibility accessibilityTraits]  // -[SFBookmarksCollectionViewControllerCompactRowCellAccessibility ?]
0x00000002873166f8  0x0000000c  __TEXT,__text  objc  +[_SFFloatingTabBarItemViewAccessibility(SafeCategory) safeCategoryTargetClassName]  // +[_SFFloatingTabBarItemViewAccessibility layoutManager]
0x0000000287316704  0x0000000c  __TEXT,__text  objc  +[_SFFloatingTabBarItemViewAccessibility(SafeCategory) safeCategoryBaseClass]  // +[_SFFloatingTabBarItemViewAccessibility ']
0x0000000287316710  0x000000d0  __TEXT,__text  objc  +[_SFFloatingTabBarItemViewAccessibility _accessibilityPerformValidations:]  // +[_SFFloatingTabBarItemViewAccessibility ?]
0x00000002873167e0  0x00000100  __TEXT,__text  objc  -[_SFFloatingTabBarItemViewAccessibility _accessibilityLoadAccessibilityInformation]  // -[_SFFloatingTabBarItemViewAccessibility ?]
0x00000002873168e0  0x000000c8  __TEXT,__text  func  __84-[_SFFloatingTabBarItemViewAccessibility _accessibilityLoadAccessibilityInformation]_block_invoke
0x00000002873169a8  0x0000000c  __TEXT,__text  objc  +[SFSiteCardRedesignCellAccessibility(SafeCategory) safeCategoryTargetClassName]  // +[SFSiteCardRedesignCellAccessibility isHiddenOrHasHiddenAncestor]
0x00000002873169b4  0x0000000c  __TEXT,__text  objc  +[SFSiteCardRedesignCellAccessibility(SafeCategory) safeCategoryBaseClass]  // +[SFSiteCardRedesignCellAccessibility ?]
0x00000002873169c0  0x000000e8  __TEXT,__text  objc  +[SFSiteCardRedesignCellAccessibility _accessibilityPerformValidations:]  // +[SFSiteCardRedesignCellAccessibility ?]
0x0000000287316aa8  0x00000008  __TEXT,__text  objc  -[SFSiteCardRedesignCellAccessibility isAccessibilityElement]  // -[SFSiteCardRedesignCellAccessibility ?]
0x0000000287316ab0  0x00000048  __TEXT,__text  objc  -[SFSiteCardRedesignCellAccessibility accessibilityTraits]  // -[SFSiteCardRedesignCellAccessibility ?]
0x0000000287316af8  0x000000c4  __TEXT,__text  objc  -[SFSiteCardRedesignCellAccessibility accessibilityLabel]  // -[SFSiteCardRedesignCellAccessibility PKDashboardViewControllerFooterViewAccessibility]
0x0000000287316bbc  0x0000000c  __TEXT,__text  objc  +[ScrollingCapsuleCollectionViewAccessibility(SafeCategory) safeCategoryTargetClassName]  // +[ScrollingCapsuleCollectionViewAccessibility keyboardInput:shouldReplaceTextInRange:replacementText:]
