//
//     Generated by class-dump 3.5 (64 bit) — routine listing.
//
// image:   /var/folders/hq/s7n8_wx50wd3vxklqrz_yt6m0000gn/T/class-dump-dsc-E97277E0-AA93-4B8F-8728-7A7EC5985FC6/System/Library/PrivateFrameworks/AppleScript.framework/Versions/A/AppleScript
// arch:    arm64e
// uuid:    1D5D8FFA-4332-3D73-A19A-5A903209470B
// text:    0x0000000234d23000
// count:   2405 routines
//
// columns: addr  size  segment,section  kind  name [demangled] [objc-binding]
//
0x0000000234d28130  0x00000150  __TEXT,__text  cxx  __ZL19ASDDecodeIdentifierP14TUASIdentifierPPK10__CFString  // ASDDecodeIdentifier(TUASIdentifier*, __CFString const**)
0x0000000234d28280  0x00000298  __TEXT,__text  cxx  __Z26ASDDisplayAndComputeBoundsP13TUASStatementP6AEDesc  // ASDDisplayAndComputeBounds(TUASStatement*, AEDesc*)
0x0000000234d28518  0x00000168  __TEXT,__text  cxx  __ZNSt3__119basic_ostringstreamIcNS_11char_traitsIcEENS_9allocatorIcEEEC1B9nqe210106Ev  // std::__1::basic_ostringstream<char, std::__1::char_traits<char>, std::__1::allocator<char>>::basic_ostringstream[abi:nqe210106]()
0x0000000234d28680  0x0000005c  __TEXT,__text  cxx  __Z16ASDNextCallFrameP9TUASFrame  // ASDNextCallFrame(TUASFrame*)
0x0000000234d286dc  0x0000012c  __TEXT,__text  cxx  __Z15ASDFrameByIndexPK6AEDescPS_Pv  // ASDFrameByIndex(AEDesc const*, AEDesc*, void*)
0x0000000234d28808  0x0000013c  __TEXT,__text  cxx  __Z14ASDFrameSourcePK6AEDescPS_Pv  // ASDFrameSource(AEDesc const*, AEDesc*, void*)
0x0000000234d28944  0x000000a8  __TEXT,__text  cxx  __Z14ASDPauseStatusPK6AEDescPS_Pv  // ASDPauseStatus(AEDesc const*, AEDesc*, void*)
0x0000000234d289ec  0x000000f0  __TEXT,__text  cxx  __Z17ASDNumberOfFramesPK6AEDescPS_Pv  // ASDNumberOfFrames(AEDesc const*, AEDesc*, void*)
0x0000000234d28adc  0x00000128  __TEXT,__text  cxx  __Z20ASDNumberOfVariablesPK6AEDescPS_Pv  // ASDNumberOfVariables(AEDesc const*, AEDesc*, void*)
0x0000000234d28c04  0x00000080  __TEXT,__text  cxx  __ZL19ASNumberOfVariablesii  // ASNumberOfVariables(int, int)
0x0000000234d28c84  0x000000a4  __TEXT,__text  cxx  __Z11ASDRegisterPK6AEDescPS_Pv  // ASDRegister(AEDesc const*, AEDesc*, void*)
0x0000000234d28d28  0x000000bc  __TEXT,__text  cxx  __Z25ASDScriptUniqueIdentifierPK6AEDescPS_Pv  // ASDScriptUniqueIdentifier(AEDesc const*, AEDesc*, void*)
0x0000000234d28de4  0x00000144  __TEXT,__text  cxx  __ZL24ASScriptUniqueIdentifierP6AEDesc  // ASScriptUniqueIdentifier(AEDesc*)
0x0000000234d28f28  0x0000014c  __TEXT,__text  cxx  __Z11ASDStepOverPK6AEDescPS_Pv  // ASDStepOver(AEDesc const*, AEDesc*, void*)
0x0000000234d29074  0x00000274  __TEXT,__text  cxx  __Z18ASDVariableByIndexPK6AEDescPS_Pv  // ASDVariableByIndex(AEDesc const*, AEDesc*, void*)
0x0000000234d292e8  0x00000150  __TEXT,__text  cxx  __ZL17ASVariableByIndexiiiP17OpaqueAEStreamRef  // ASVariableByIndex(int, int, int, OpaqueAEStreamRef*)
0x0000000234d29438  0x000000a0  __TEXT,__text  cxx  __Z18ASDScriptDebuggingPK6AEDescPS_Pv  // ASDScriptDebugging(AEDesc const*, AEDesc*, void*)
0x0000000234d294d8  0x00000048  __TEXT,__text  cxx  __Z9ASDCancelPK6AEDescPS_Pv  // ASDCancel(AEDesc const*, AEDesc*, void*)
0x0000000234d29520  0x00000184  __TEXT,__text  cxx  __Z7ASDInfoPK6AEDescPS_Pv  // ASDInfo(AEDesc const*, AEDesc*, void*)
0x0000000234d296a4  0x00000138  __TEXT,__text  cxx  __Z16ASDSetBreakPointPK6AEDescPS_Pv  // ASDSetBreakPoint(AEDesc const*, AEDesc*, void*)
0x0000000234d297dc  0x00000180  __TEXT,__text  cxx  __ZL16GetOneBreakPointPK6AEDescPPcPiS4_  // GetOneBreakPoint(AEDesc const*, char**, int*, int*)
0x0000000234d2995c  0x00000160  __TEXT,__text  cxx  __Z18ASDClearBreakPointPK6AEDescPS_Pv  // ASDClearBreakPoint(AEDesc const*, AEDesc*, void*)
0x0000000234d29abc  0x00000080  __TEXT,__text  cxx  __ZL18ClearOneBreakPointPPPcP16BreakPointStruct  // ClearOneBreakPoint(char***, BreakPointStruct*)
0x0000000234d29b3c  0x000000a8  __TEXT,__text  cxx  __ZL19IsBreakPointInTablePcjj  // IsBreakPointInTable(char*, unsigned int, unsigned int)
0x0000000234d29be4  0x00000168  __TEXT,__text  cxx  __Z16ASDGetBreakPointPK6AEDescPS_Pv  // ASDGetBreakPoint(AEDesc const*, AEDesc*, void*)
0x0000000234d29d4c  0x000000b4  __TEXT,__text  cxx  __ZL21StreamWriteBreakPointP17OpaqueAEStreamRefPKcii  // StreamWriteBreakPoint(OpaqueAEStreamRef*, char const*, int, int)
0x0000000234d29e00  0x000001e4  __TEXT,__text  cxx  __Z14ASDSetVariablePK6AEDescPS_Pv  // ASDSetVariable(AEDesc const*, AEDesc*, void*)
