//
//     Generated by class-dump 3.5 (64 bit) — routine listing.
//
// image:   /var/folders/hq/s7n8_wx50wd3vxklqrz_yt6m0000gn/T/class-dump-dsc-E97277E0-AA93-4B8F-8728-7A7EC5985FC6/System/Library/PrivateFrameworks/OSD.framework/Versions/A/OSD
// arch:    arm64e
// uuid:    0BE2695C-795B-3AB0-972A-BAE0C64BB29A
// text:    0x00000001c349c000
// count:   52 routines
//
// columns: addr  size  segment,section  kind  name [demangled] [objc-binding]
//
0x00000001c349cd18  0x0000000c  __TEXT,__text  objc  -[OSDConnectionInfo proxyObject]  // -[OSDConnectionInfo ]
0x00000001c349cd24  0x00000008  __TEXT,__text  objc  -[OSDConnectionInfo setProxyObject:]  // -[OSDConnectionInfo ?]
0x00000001c349cd2c  0x0000000c  __TEXT,__text  objc  -[OSDConnectionInfo connection]  // -[OSDConnectionInfo ?]
0x00000001c349cd38  0x00000008  __TEXT,__text  objc  -[OSDConnectionInfo setConnection:]  // -[OSDConnectionInfo ?]
0x00000001c349cd40  0x0000000c  __TEXT,__text  objc  -[OSDConnectionInfo serviceName]  // -[OSDConnectionInfo ?]
0x00000001c349cd4c  0x00000008  __TEXT,__text  objc  -[OSDConnectionInfo setServiceName:]  // -[OSDConnectionInfo ]
0x00000001c349cd54  0x00000050  __TEXT,__text  objc  -[OSDConnectionInfo .cxx_destruct]  // -[OSDConnectionInfo ?]
0x00000001c349cda4  0x00000058  __TEXT,__text  objc  +[OSDManager sharedManager]  // +[OSDManager ?]
0x00000001c349cdfc  0x00000040  __TEXT,__text  func  __27+[OSDManager sharedManager]_block_invoke
0x00000001c349ce3c  0x000003ac  __TEXT,__text  objc  -[OSDManager remoteObjectProxyForGraphicType:]  // -[OSDManager ]
0x00000001c349d1e8  0x00000058  __TEXT,__text  func  __46-[OSDManager remoteObjectProxyForGraphicType:]_block_invoke
0x00000001c349d240  0x0000000c  __TEXT,__text  func  __copy_helper_block_e8_32w
0x00000001c349d24c  0x00000008  __TEXT,__text  func  __destroy_helper_block_e8_32w
0x00000001c349d254  0x0000005c  __TEXT,__text  func  __46-[OSDManager remoteObjectProxyForGraphicType:]_block_invoke.43
0x00000001c349d2b0  0x00000074  __TEXT,__text  objc  -[OSDManager showImage:onDisplayID:priority:msecUntilFade:]  // -[OSDManager ?]
0x00000001c349d324  0x00000098  __TEXT,__text  objc  -[OSDManager showImage:onDisplayID:priority:msecUntilFade:withText:]  // -[OSDManager xA]
0x00000001c349d3bc  0x0000009c  __TEXT,__text  objc  -[OSDManager showImage:onDisplayID:priority:msecUntilFade:filledChiclets:totalChiclets:locked:]  // -[OSDManager ?]
0x00000001c349d458  0x000000a8  __TEXT,__text  objc  -[OSDManager showImageAtPath:onDisplayID:priority:msecUntilFade:withText:]  // -[OSDManager ?]
0x00000001c349d500  0x00000050  __TEXT,__text  objc  -[OSDManager fadeClassicImageOnDisplay:]  // -[OSDManager ?]
0x00000001c349d550  0x00000074  __TEXT,__text  objc  -[OSDManager showFullScreenImage:onDisplayID:priority:msecToAnimate:]  // -[OSDManager ]
0x00000001c349d5c4  0x00000044  __TEXT,__text  objc  -[OSDManager .cxx_destruct]  // -[OSDManager ?]
0x00000001c349d608  0x00000138  __TEXT,__text  func  +[OSDManager sharedManager].cold.1
0x00000001c349d740  0x00000018  __TEXT,__objc_methlist  func  _OBJC_$_CLASS_METHODS_OSDManager
0x00000001c349d758  0x00000060  __TEXT,__objc_methlist  func  _OBJC_$_INSTANCE_METHODS_OSDConnectionInfo
0x00000001c349d7b8  0x00000068  __TEXT,__objc_methlist  func  _OBJC_$_INSTANCE_METHODS_OSDManager
0x00000001c349d820  0x00000058  __TEXT,__objc_methlist  func  _OBJC_$_PROTOCOL_INSTANCE_METHODS_OSDUIHelperProtocol
0x00000001c349d878  0x00000688  __TEXT,__gcc_except_tab  func  GCC_except_table9
0x00000001c349df00  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$boolForKey:
0x00000001c349df20  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$boolValue
0x00000001c349df40  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$connection
0x00000001c349df60  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$fadeClassicImageOnDisplay:
0x00000001c349df80  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$initWithMachServiceName:options:
0x00000001c349dfa0  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$initWithSuiteName:
0x00000001c349dfc0  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$interfaceWithProtocol:
0x00000001c349dfe0  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$localizedDescription
0x00000001c349e000  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$objectForKey:
0x00000001c349e020  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$objectForKeyedSubscript:
0x00000001c349e040  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$proxyObject
0x00000001c349e060  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$remoteObjectProxyForGraphicType:
0x00000001c349e080  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$remoteObjectProxyWithErrorHandler:
0x00000001c349e0a0  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$resume
0x00000001c349e0c0  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$serviceName
0x00000001c349e0e0  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$setConnection:
0x00000001c349e100  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$setInvalidationHandler:
0x00000001c349e120  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$setProxyObject:
0x00000001c349e140  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$setRemoteObjectInterface:
0x00000001c349e160  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$setServiceName:
0x00000001c349e180  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$showFullScreenImage:onDisplayID:priority:msecToAnimate:
0x00000001c349e1a0  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$showImage:onDisplayID:priority:msecUntilFade:
0x00000001c349e1c0  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$showImage:onDisplayID:priority:msecUntilFade:filledChiclets:totalChiclets:locked:
0x00000001c349e1e0  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$showImage:onDisplayID:priority:msecUntilFade:withText:
