//
//     Generated by class-dump 3.5 (64 bit) — routine listing.
//
// image:   /var/folders/hq/s7n8_wx50wd3vxklqrz_yt6m0000gn/T/class-dump-dsc-B7C5B4B8-77DD-4B91-9883-FAC9B827A9D5/System/Library/PrivateFrameworks/ContactsMetrics.framework/Versions/A/ContactsMetrics
// arch:    arm64e
// uuid:    9BC801BF-65A0-3536-85DD-ACF5E65DC8D8
// text:    0x0000000239327000
// count:   92 routines
//
// columns: addr  size  segment,section  kind  name [demangled] [objc-binding]
//
0x0000000239327e58  0x0000000c  __TEXT,__text  func  -[CNMetricsUIReporter eventKeyPrefix]
0x0000000239327e64  0x00000018  __TEXT,__text  func  -[CNMetricsUIReporter logContactShownforApplication:]
0x0000000239327e7c  0x00000018  __TEXT,__text  func  -[CNMetricsUIReporter logSearchUsageforApplication:]
0x0000000239327e94  0x00000014  __TEXT,__text  func  -[CNMetricsUIReporter logSearchActionWithDictionary:]
0x0000000239327ea8  0x00000140  __TEXT,__text  func  -[CNMetricsUIReporter logSearchResultsFetchedforApplication:fromSuggestions:]
0x0000000239327fe8  0x00000140  __TEXT,__text  func  -[CNMetricsUIReporter logSearchResultsSelectedforApplication:fromSuggestions:]
0x0000000239328128  0x00000014  __TEXT,__text  func  -[CNMetricsUIReporter logActionDictionary:]
0x000000023932813c  0x00000104  __TEXT,__text  func  -[CNMetricsUIReporter emptyDictionaryForAction:andApplication:]
0x0000000239328240  0x00000108  __TEXT,__text  func  -[CNMetricsUIReporter logUnknownContactGeminiViewDifferentChannelSelected:]
0x0000000239328348  0x00000014  __TEXT,__text  func  -[CNEnvironment(ContactsMetrics) metricsReporter]
0x000000023932835c  0x00000030  __TEXT,__text  func  __49-[CNEnvironment(ContactsMetrics) metricsReporter]_block_invoke
0x000000023932838c  0x0000000c  __TEXT,__text  func  -[CNEnvironmentTestDouble(ContactsMetrics) setMetricsReporter:]
0x0000000239328398  0x00000058  __TEXT,__text  func  +[CNMetricsReporter log]
0x00000002393283f0  0x00000048  __TEXT,__text  func  __24+[CNMetricsReporter log]_block_invoke
0x0000000239328438  0x00000008  __TEXT,__text  func  +[CNMetricsReporter sendDictionary:forEvent:]
0x0000000239328440  0x00000084  __TEXT,__text  func  +[CNMetricsReporter sendDictionary:forEvent:andLog:]
0x00000002393284c4  0x00000184  __TEXT,__text  func  -[CNMetricsReporter sendDictionary:forEvent:andLog:]
0x0000000239328648  0x0000003c  __TEXT,__text  func  __52-[CNMetricsReporter sendDictionary:forEvent:andLog:]_block_invoke
0x0000000239328684  0x00000008  __TEXT,__text  func  __copy_helper_block_e8_32s
0x000000023932868c  0x00000008  __TEXT,__text  func  __destroy_helper_block_e8_32s
0x0000000239328694  0x0000010c  __TEXT,__text  func  -[CNMetricsReporter logSimpleEvent:forApplication:andLog:]
0x00000002393287a0  0x0000000c  __TEXT,__text  func  -[CNMetricsReporter eventKeyPrefix]
0x00000002393287ac  0x00000080  __TEXT,__text  func  -[CNMetricsReporter compoundKeyForEvent:]
0x000000023932882c  0x000000ec  __TEXT,__text  func  +[CNMetricsReporter logDatabaseResolution:]
0x0000000239328918  0x000000c8  __TEXT,__text  func  -[CNMetricsReporterSpiedEntry initWithDictionary:event:logged:]
0x00000002393289e0  0x000000bc  __TEXT,__text  func  -[CNMetricsReporterSpiedEntry description]
0x0000000239328a9c  0x000000a4  __TEXT,__text  func  -[CNMetricsReporterSpiedEntry isEqual:]
0x0000000239328b40  0x00000060  __TEXT,__text  func  -[CNMetricsReporterSpiedEntry hash]
0x0000000239328ba0  0x00000028  __TEXT,__text  func  -[CNMetricsReporterSpiedEntry copyWithZone:]
0x0000000239328bc8  0x00000008  __TEXT,__text  func  +[CNMetricsReporterSpiedEntry supportsSecureCoding]
0x0000000239328bd0  0x00000120  __TEXT,__text  func  -[CNMetricsReporterSpiedEntry initWithCoder:]
0x0000000239328cf0  0x00000088  __TEXT,__text  func  -[CNMetricsReporterSpiedEntry encodeWithCoder:]
0x0000000239328d78  0x0000000c  __TEXT,__text  func  -[CNMetricsReporterSpiedEntry dictionary]
0x0000000239328d84  0x0000000c  __TEXT,__text  func  -[CNMetricsReporterSpiedEntry event]
0x0000000239328d90  0x0000000c  __TEXT,__text  func  -[CNMetricsReporterSpiedEntry isLogged]
0x0000000239328d9c  0x00000044  __TEXT,__text  func  -[CNMetricsReporterSpiedEntry .cxx_destruct]
0x0000000239328de0  0x00000078  __TEXT,__text  func  -[CNMetricsReporterSpy init]
0x0000000239328e58  0x00000070  __TEXT,__text  func  -[CNMetricsReporterSpy events]
0x0000000239328ec8  0x00000064  __TEXT,__text  func  -[CNMetricsReporterSpy clearEvents]
0x0000000239328f2c  0x000000c8  __TEXT,__text  func  -[CNMetricsReporterSpy sendDictionary:forEvent:andLog:]
0x0000000239328ff4  0x0000010c  __TEXT,__text  func  -[CNMetricsReporterSpy logSimpleEvent:forApplication:andLog:]
0x0000000239329100  0x0000000c  __TEXT,__text  func  -[CNMetricsReporterSpy .cxx_destruct]
0x000000023932910c  0x00000004  __TEXT,__text  func  -[CNMetricsReporterStub sendDictionary:forEvent:andLog:]
0x0000000239329110  0x00000004  __TEXT,__text  func  -[CNMetricsReporterStub logSimpleEvent:forApplication:andLog:]
0x0000000239329114  0x00000174  __TEXT,__text  func  +[CNMetricsReporter log].cold.1
0x0000000239329288  0x00000018  __TEXT,__objc_methlist  func  _OBJC_$_CATEGORY_INSTANCE_METHODS_CNEnvironmentTestDouble_$_ContactsMetrics
0x00000002393292a0  0x00000018  __TEXT,__objc_methlist  func  _OBJC_$_CATEGORY_INSTANCE_METHODS_CNEnvironment_$_ContactsMetrics
