//
//     Generated by class-dump 3.5 (64 bit) — routine listing.
//
// image:   /var/folders/hq/s7n8_wx50wd3vxklqrz_yt6m0000gn/T/class-dump-dsc-E97277E0-AA93-4B8F-8728-7A7EC5985FC6/System/Library/PrivateFrameworks/CoreCaptureDaemon.framework/Versions/A/CoreCaptureDaemon
// arch:    arm64e
// uuid:    D5EBEAD7-0014-3DDF-BAC9-D1CBB443B875
// text:    0x00000001e4b7b000
// count:   606 routines
//
// columns: addr  size  segment,section  kind  name [demangled] [objc-binding]
//
0x00000001e4b834d4  0x000002ec  __TEXT,__text  cxx  __ZN16CCProfileMonitor13freeResourcesEv  // CCProfileMonitor::freeResources()
0x00000001e4b837c0  0x00000008  __TEXT,__text  func  ___ZN12CCXPCService15startXPCServiceEv_block_invoke
0x00000001e4b837c8  0x00000014  __TEXT,__text  cxx  __ZN16CCProfileMonitorD0Ev  // CCProfileMonitor::~CCProfileMonitor()
0x00000001e4b837dc  0x00000074  __TEXT,__text  cxx  __ZN11CCConfigure6ccfreeEv  // CCConfigure::ccfree()
0x00000001e4b83850  0x00000014  __TEXT,__text  cxx  __ZN11CCConfigureD0Ev  // CCConfigure::~CCConfigure()
0x00000001e4b83864  0x00000974  __TEXT,__text  cxx  __ZN13CCPipeMonitor6ccfreeEv  // CCPipeMonitor::ccfree()
0x00000001e4b841d8  0x00000060  __TEXT,__text  cxx  __ZN9CCDataTap6ccfreeEv  // CCDataTap::ccfree()
0x00000001e4b84238  0x0000026c  __TEXT,__text  cxx  __ZN9CCDataTap14profileRemovedEv  // CCDataTap::profileRemoved()
0x00000001e4b844a4  0x00000060  __TEXT,__text  cxx  __ZN5CCTap6ccfreeEv  // CCTap::ccfree()
0x00000001e4b84504  0x00000044  __TEXT,__text  cxx  __ZN19CCDataPipeInterface13wakeupTapLoopEv  // CCDataPipeInterface::wakeupTapLoop()
0x00000001e4b84548  0x00000068  __TEXT,__text  cxx  __ZN19CCDataPipeInterface6ccfreeEv  // CCDataPipeInterface::ccfree()
0x00000001e4b845b0  0x00000060  __TEXT,__text  cxx  __ZN15CCPipeInterface6ccfreeEv  // CCPipeInterface::ccfree()
0x00000001e4b84610  0x00000014  __TEXT,__text  cxx  __ZN19CCDataPipeInterfaceD0Ev  // CCDataPipeInterface::~CCDataPipeInterface()
0x00000001e4b84624  0x00000014  __TEXT,__text  cxx  __ZN9CCDataTapD0Ev  // CCDataTap::~CCDataTap()
0x00000001e4b84638  0x00000068  __TEXT,__text  cxx  __ZN8CCLogTap6ccfreeEv  // CCLogTap::ccfree()
0x00000001e4b846a0  0x00000294  __TEXT,__text  cxx  __ZN8CCLogTap14profileRemovedEv  // CCLogTap::profileRemoved()
0x00000001e4b84934  0x00000044  __TEXT,__text  cxx  __ZN18CCLogPipeInterface13wakeupTapLoopEv  // CCLogPipeInterface::wakeupTapLoop()
0x00000001e4b84978  0x00000320  __TEXT,__text  cxx  __ZN6CCFile17withRegistryEntryEj  // CCFile::withRegistryEntry(unsigned int)
0x00000001e4b84c98  0x000017bc  __TEXT,__text  cxx  __ZN9CCLogFile21initWithRegistryEntryEj  // CCLogFile::initWithRegistryEntry(unsigned int)
0x00000001e4b86454  0x0000092c  __TEXT,__text  cxx  __ZN6CCFile21initWithRegistryEntryEj  // CCFile::initWithRegistryEntry(unsigned int)
0x00000001e4b86d80  0x00000008  __TEXT,__text  cxx  __ZN11CCFormatter21registerWriteCallbackEP8CCObjectPFlS1_PvmE  // CCFormatter::registerWriteCallback(CCObject*, long (*)(CCObject*, void*, unsigned long))
0x00000001e4b86d88  0x00000a00  __TEXT,__text  cxx  __ZN9CCLogFile15buildFileTablesEv  // CCLogFile::buildFileTables()
0x00000001e4b87788  0x00000120  __TEXT,__text  cxx  __ZN9CCLogFile8openFileEPKc  // CCLogFile::openFile(char const*)
0x00000001e4b878a8  0x000004a0  __TEXT,__text  cxx  __ZN9CCLogFile7addFileEv  // CCLogFile::addFile()
0x00000001e4b87d48  0x00000200  __TEXT,__text  cxx  __ZN6CCFile16generateFileNameEPKc  // CCFile::generateFileName(char const*)
0x00000001e4b87f48  0x0000000c  __TEXT,__text  cxx  __ZN15CCTextFormatter25getFormatterFileExtensionEv  // CCTextFormatter::getFormatterFileExtension()
0x00000001e4b87f54  0x00000224  __TEXT,__text  cxx  __ZN9CCLogFile11fileDidOpenEm  // CCLogFile::fileDidOpen(unsigned long)
0x00000001e4b88178  0x00000008  __TEXT,__text  cxx  __ZN11CCFormatter15writeFileHeaderEv  // CCFormatter::writeFileHeader()
0x00000001e4b88180  0x00000068  __TEXT,__text  cxx  __ZN18CCLogPipeInterface6ccfreeEv  // CCLogPipeInterface::ccfree()
0x00000001e4b881e8  0x00000014  __TEXT,__text  cxx  __ZN18CCLogPipeInterfaceD0Ev  // CCLogPipeInterface::~CCLogPipeInterface()
0x00000001e4b881fc  0x00000084  __TEXT,__text  cxx  __ZN9CCLogFile9closeFileEv  // CCLogFile::closeFile()
0x00000001e4b88280  0x00000008  __TEXT,__text  cxx  __ZN11CCFormatter15writeFileFooterEv  // CCFormatter::writeFileFooter()
0x00000001e4b88288  0x00000010  __TEXT,__text  cxx  __ZN9CCLogFile13fileWillCloseEv  // CCLogFile::fileWillClose()
0x00000001e4b88298  0x00000064  __TEXT,__text  cxx  __ZN9CCLogFile9closeMMAPEv  // CCLogFile::closeMMAP()
0x00000001e4b882fc  0x00000068  __TEXT,__text  cxx  __ZN9CCLogFile6ccfreeEv  // CCLogFile::ccfree()
0x00000001e4b88364  0x0000004c  __TEXT,__text  cxx  __ZN9CCLogFile13freeResourcesEv  // CCLogFile::freeResources()
0x00000001e4b883b0  0x0000020c  __TEXT,__text  cxx  __ZN9CCLogFile10deleteFileEP10__CFString  // CCLogFile::deleteFile(__CFString*)
0x00000001e4b885bc  0x00000060  __TEXT,__text  cxx  __ZN6CCFile6ccfreeEv  // CCFile::ccfree()
0x00000001e4b8861c  0x0000004c  __TEXT,__text  cxx  __ZN15CCTextFormatter6ccfreeEv  // CCTextFormatter::ccfree()
0x00000001e4b88668  0x00000078  __TEXT,__text  cxx  __ZN15CCTextFormatter15freeStreamTableEv  // CCTextFormatter::freeStreamTable()
0x00000001e4b886e0  0x0000005c  __TEXT,__text  cxx  __ZN11CCFormatter6ccfreeEv  // CCFormatter::ccfree()
0x00000001e4b8873c  0x00000014  __TEXT,__text  cxx  __ZN15CCTextFormatterD0Ev  // CCTextFormatter::~CCTextFormatter()
0x00000001e4b88750  0x00000014  __TEXT,__text  cxx  __ZN9CCLogFileD0Ev  // CCLogFile::~CCLogFile()
0x00000001e4b88764  0x00000014  __TEXT,__text  cxx  __ZN8CCLogTapD0Ev  // CCLogTap::~CCLogTap()
0x00000001e4b88778  0x0000000c  __TEXT,__text  cxx  __ZN17CCPcapngFormatter25getFormatterFileExtensionEv  // CCPcapngFormatter::getFormatterFileExtension()
0x00000001e4b88784  0x000006a8  __TEXT,__text  cxx  __ZN17CCPcapngFormatter15writeFileHeaderEv  // CCPcapngFormatter::writeFileHeader()
0x00000001e4b88e2c  0x00000020  __TEXT,__text  cxx  __ZN11CCFormatter7doWriteEPvm  // CCFormatter::doWrite(void*, unsigned long)
0x00000001e4b88e4c  0x0000001c  __TEXT,__text  cxx  __ZN6CCFile8_doWriteEP8CCObjectPvm  // CCFile::_doWrite(CCObject*, void*, unsigned long)
0x00000001e4b88e68  0x000000dc  __TEXT,__text  cxx  __ZN9CCLogFile7doWriteEPvm  // CCLogFile::doWrite(void*, unsigned long)
0x00000001e4b88f44  0x00000088  __TEXT,__text  cxx  __ZN17CCPcapngFormatter19freeInterfaceTablesEv  // CCPcapngFormatter::freeInterfaceTables()
0x00000001e4b88fcc  0x00000038  __TEXT,__text  cxx  __ZN17CCPcapngFormatter6ccfreeEv  // CCPcapngFormatter::ccfree()
0x00000001e4b89004  0x00000014  __TEXT,__text  cxx  __ZN17CCPcapngFormatterD0Ev  // CCPcapngFormatter::~CCPcapngFormatter()
0x00000001e4b89018  0x0000000c  __TEXT,__text  cxx  __ZN21CCIOReporterFormatter25getFormatterFileExtensionEv  // CCIOReporterFormatter::getFormatterFileExtension()
0x00000001e4b89024  0x00000060  __TEXT,__text  cxx  __ZN21CCIOReporterFormatter15writeFileHeaderEv  // CCIOReporterFormatter::writeFileHeader()
0x00000001e4b89084  0x000008d4  __TEXT,__text  cxx  __ZN21CCIOReporterFormatter38refreshSubscriptionsFromStreamRegistryEv  // CCIOReporterFormatter::refreshSubscriptionsFromStreamRegistry()
0x00000001e4b89958  0x00000c84  __TEXT,__text  cxx  __ZN21CCIOReporterFormatter39storeChannelDescriptionFromSubscriptionEP14__CFDictionaryPKS0_PK10__CFNumber  // CCIOReporterFormatter::storeChannelDescriptionFromSubscription(__CFDictionary*, __CFDictionary const*, __CFNumber const*)
0x00000001e4b8a5dc  0x00000028  __TEXT,__text  cxx  __ZN21CCIOReporterFormatter15writeFileFooterEv  // CCIOReporterFormatter::writeFileFooter()
0x00000001e4b8a604  0x00000054  __TEXT,__text  cxx  __ZN21CCIOReporterFormatter6ccfreeEv  // CCIOReporterFormatter::ccfree()
0x00000001e4b8a658  0x00000014  __TEXT,__text  cxx  __ZN21CCIOReporterFormatterD0Ev  // CCIOReporterFormatter::~CCIOReporterFormatter()
0x00000001e4b8a66c  0x000000a0  __TEXT,__text  cxx  __ZN19CCIOReportDumpQueue6ccfreeEv  // CCIOReportDumpQueue::ccfree()
0x00000001e4b8a70c  0x00000054  __TEXT,__text  cxx  __ZN19CCIOReportDumpQueue7dequeueEv  // CCIOReportDumpQueue::dequeue()
0x00000001e4b8a760  0x00000014  __TEXT,__text  cxx  __ZN19CCIOReportDumpQueueD0Ev  // CCIOReportDumpQueue::~CCIOReportDumpQueue()
0x00000001e4b8a774  0x000000ac  __TEXT,__text  cxx  __ZN16CCServiceMonitor13freeresourcesEv  // CCServiceMonitor::freeresources()
0x00000001e4b8a820  0x00000064  __TEXT,__text  cxx  __ZN13CCPipeMonitorD0Ev  // CCPipeMonitor::~CCPipeMonitor()
0x00000001e4b8a884  0x00000014  __TEXT,__text  cxx  __ZN8CCDaemonD0Ev  // CCDaemon::~CCDaemon()
0x00000001e4b8a898  0x0000037c  __TEXT,__text  cxx  __ZN16CCServiceMonitor12scanServicesEv  // CCServiceMonitor::scanServices()
0x00000001e4b8ac14  0x00000ad8  __TEXT,__text  cxx  __ZN5CCTap17withRegistryEntryEj  // CCTap::withRegistryEntry(unsigned int)
0x00000001e4b8b6ec  0x000000b4  __TEXT,__text  cxx  __ZN9CCDataTap17withRegistryEntryEj  // CCDataTap::withRegistryEntry(unsigned int)
0x00000001e4b8b7a0  0x0000021c  __TEXT,__text  cxx  __ZN8CCLogTap17withRegistryEntryEj  // CCLogTap::withRegistryEntry(unsigned int)
0x00000001e4b8b9bc  0x00000088  __TEXT,__text  cxx  __ZN11CCConfigure15withPipeMonitorEP13CCPipeMonitor  // CCConfigure::withPipeMonitor(CCPipeMonitor*)
0x00000001e4b8ba44  0x000001ec  __TEXT,__text  cxx  __ZN16CCProfileMonitor13withConfigureEP11CCConfigure  // CCProfileMonitor::withConfigure(CCConfigure*)
0x00000001e4b8bc30  0x000003fc  __TEXT,__text  cxx  __ZN16CCProfileMonitor21setStreamEventHandlerEv  // CCProfileMonitor::setStreamEventHandler()
0x00000001e4b8c02c  0x000000c8  __TEXT,__text  cxx  __ZN16CCProfileMonitor21initializeProfilePortEv  // CCProfileMonitor::initializeProfilePort()
