//
//     Generated by class-dump 3.5 (64 bit) — routine listing.
//
// image:   /var/folders/hq/s7n8_wx50wd3vxklqrz_yt6m0000gn/T/class-dump-dsc-E97277E0-AA93-4B8F-8728-7A7EC5985FC6/System/Library/Frameworks/PermissionKit.framework/Versions/A/PermissionKit
// arch:    arm64e
// uuid:    918B07C2-D553-35EB-A104-29C6A8A2C2EA
// text:    0x000000022bf5a000
// count:   985 routines
//
// columns: addr  size  segment,section  kind  name [demangled] [objc-binding]
//
0x000000022bf5b7b8  0x00000014  __TEXT,__text  sub  sub_22bf5b7b8
0x000000022bf5b7cc  0x00000014  __TEXT,__text  sub  sub_22bf5b7cc
0x000000022bf5b7e0  0x00000048  __TEXT,__text  sub  sub_22bf5b7e0
0x000000022bf5b828  0x0000002c  __TEXT,__text  sub  sub_22bf5b828
0x000000022bf5b854  0x00000044  __TEXT,__text  sub  sub_22bf5b854
0x000000022bf5b898  0x00000004  __TEXT,__text  sub  sub_22bf5b898
0x000000022bf5b89c  0x00000004  __TEXT,__text  sub  sub_22bf5b89c
0x000000022bf5b8a0  0x00000004  __TEXT,__text  sub  sub_22bf5b8a0
0x000000022bf5b8a4  0x00000004  __TEXT,__text  sub  sub_22bf5b8a4
0x000000022bf5b8a8  0x00001cac  __TEXT,__text  sub  sub_22bf5b8a8
0x000000022bf5d554  0x00000028  __TEXT,__text  sub  sub_22bf5d554
0x000000022bf5d57c  0x000001cc  __TEXT,__text  sub  sub_22bf5d57c
0x000000022bf5d748  0x00000884  __TEXT,__text  sub  sub_22bf5d748
0x000000022bf5dfcc  0x00000054  __TEXT,__text  func  __swift_instantiateConcreteTypeFromMangledNameV2
0x000000022bf5e020  0x000010cc  __TEXT,__text  sub  sub_22bf5e020
0x000000022bf5f0ec  0x00000054  __TEXT,__text  sub  sub_22bf5f0ec
0x000000022bf5f140  0x0000004c  __TEXT,__text  sub  sub_22bf5f140
0x000000022bf5f18c  0x00000058  __TEXT,__text  sub  sub_22bf5f18c
0x000000022bf5f1e4  0x00000068  __TEXT,__text  sub  sub_22bf5f1e4
