//
//     Generated by class-dump 3.5 (64 bit) — routine listing.
//
// image:   /var/folders/hq/s7n8_wx50wd3vxklqrz_yt6m0000gn/T/class-dump-dsc-E97277E0-AA93-4B8F-8728-7A7EC5985FC6/System/Library/PrivateFrameworks/ContextKitCore.framework/Versions/A/ContextKitCore
// arch:    arm64e
// uuid:    8739E5AA-01EB-3224-B2AA-D6B8C0861A6C
// text:    0x0000000239471000
// count:   157 routines
//
// columns: addr  size  segment,section  kind  name [demangled] [objc-binding]
//
0x0000000239471e08  0x00000070  __TEXT,__text  func  +[CKContextDonationItem initialize]
0x0000000239471e78  0x0000038c  __TEXT,__text  func  -[CKContextDonationItem initWithCoder:]
0x0000000239472204  0x00000128  __TEXT,__text  func  -[CKContextDonationItem encodeWithCoder:]
0x000000023947232c  0x00000190  __TEXT,__text  func  -[CKContextDonationItem copyWithZone:]
0x00000002394724bc  0x00000008  __TEXT,__text  func  +[CKContextDonationItem supportsSecureCoding]
0x00000002394724c4  0x00000070  __TEXT,__text  func  -[CKContextDonationItem setText:]
0x0000000239472534  0x00000070  __TEXT,__text  func  -[CKContextDonationItem setTitle:]
0x00000002394725a4  0x00000070  __TEXT,__text  func  -[CKContextDonationItem setContentDescription:]
0x0000000239472614  0x00000070  __TEXT,__text  func  -[CKContextDonationItem setContentKeywords:]
0x0000000239472684  0x00000070  __TEXT,__text  func  -[CKContextDonationItem setContentAuthor:]
0x00000002394726f4  0x000002cc  __TEXT,__text  func  +[CKContextDonationItem trimTextToSize:]
0x00000002394729c0  0x00000008  __TEXT,__text  func  -[CKContextDonationItem text]
0x00000002394729c8  0x00000008  __TEXT,__text  func  -[CKContextDonationItem title]
0x00000002394729d0  0x00000008  __TEXT,__text  func  -[CKContextDonationItem contentDescription]
0x00000002394729d8  0x00000008  __TEXT,__text  func  -[CKContextDonationItem contentKeywords]
0x00000002394729e0  0x00000008  __TEXT,__text  func  -[CKContextDonationItem contentAuthor]
0x00000002394729e8  0x00000008  __TEXT,__text  func  -[CKContextDonationItem rawHTML]
0x00000002394729f0  0x00000008  __TEXT,__text  func  -[CKContextDonationItem setRawHTML:]
0x00000002394729f8  0x00000008  __TEXT,__text  func  -[CKContextDonationItem languageTag]
0x0000000239472a00  0x00000008  __TEXT,__text  func  -[CKContextDonationItem setLanguageTag:]
0x0000000239472a08  0x00000008  __TEXT,__text  func  -[CKContextDonationItem leadImage]
0x0000000239472a10  0x00000044  __TEXT,__text  func  -[CKContextDonationItem setLeadImage:]
0x0000000239472a54  0x00000008  __TEXT,__text  func  -[CKContextDonationItem snapshot]
0x0000000239472a5c  0x00000044  __TEXT,__text  func  -[CKContextDonationItem setSnapshot:]
0x0000000239472aa0  0x00000008  __TEXT,__text  func  -[CKContextDonationItem uiElements]
0x0000000239472aa8  0x00000044  __TEXT,__text  func  -[CKContextDonationItem setUiElements:]
0x0000000239472aec  0x00000008  __TEXT,__text  func  -[CKContextDonationItem extractionItems]
0x0000000239472af4  0x00000044  __TEXT,__text  func  -[CKContextDonationItem setExtractionItems:]
0x0000000239472b38  0x00000008  __TEXT,__text  func  -[CKContextDonationItem debugText]
0x0000000239472b40  0x00000044  __TEXT,__text  func  -[CKContextDonationItem setDebugText:]
0x0000000239472b84  0x00000008  __TEXT,__text  func  -[CKContextDonationItem debugUrlString]
0x0000000239472b8c  0x00000044  __TEXT,__text  func  -[CKContextDonationItem setDebugUrlString:]
0x0000000239472bd0  0x000000c8  __TEXT,__text  func  -[CKContextDonationItem .cxx_destruct]
0x0000000239472c98  0x00000008  __TEXT,__text  func  +[CKContextUserActivity supportsSecureCoding]
0x0000000239472ca0  0x00000094  __TEXT,__text  func  -[CKContextUserActivity initWithUserActivity:]
