//
//     Generated by class-dump 3.5 (64 bit) — routine listing.
//
// image:   /var/folders/hq/s7n8_wx50wd3vxklqrz_yt6m0000gn/T/class-dump-dsc-E97277E0-AA93-4B8F-8728-7A7EC5985FC6/System/Library/PrivateFrameworks/iCloudSettings.framework/Versions/A/iCloudSettings
// arch:    arm64e
// uuid:    FBC9B8D8-A64A-30B2-A21E-A2AAB5CD1953
// text:    0x000000027e7e0000
// count:   5974 routines
//
// columns: addr  size  segment,section  kind  name [demangled] [objc-binding]
//
0x000000027e7e2900  0x00000060  __TEXT,__text  func  -[AADataclassManager(iCloudSettings) _isHiddenDataclass:]
0x000000027e7e2960  0x000000c0  __TEXT,__text  func  __57-[AADataclassManager(iCloudSettings) _isHiddenDataclass:]_block_invoke
0x000000027e7e2a20  0x000000f8  __TEXT,__text  func  -[AADataclassManager(iCloudSettings) shouldShowDataclass:forAccount:]
0x000000027e7e2b18  0x00000058  __TEXT,__text  func  LogSubsystem
0x000000027e7e2b70  0x00000048  __TEXT,__text  func  __LogSubsystem_block_invoke
0x000000027e7e2bb8  0x00000048  __TEXT,__text  func  +[NSBundle(Loading) iCloudSettingsBundle]
0x000000027e7e2c00  0x000000d8  __TEXT,__text  func  +[ICSDeviceExpertManager appleAccountTitle]
0x000000027e7e2cd8  0x000000d8  __TEXT,__text  func  +[ICSDeviceExpertManager iCloudTitle]
0x000000027e7e2db0  0x000000d8  __TEXT,__text  func  +[ICSDeviceExpertManager manageStorageTitle]
0x000000027e7e2e88  0x000000d8  __TEXT,__text  func  +[ICSDeviceExpertManager backupTitle]
0x000000027e7e2f60  0x000000d8  __TEXT,__text  func  +[ICSDeviceExpertManager savedToiCloudTitle]
0x000000027e7e3038  0x00000038  __TEXT,__text  sub  sub_27e7e3038
0x000000027e7e3070  0x00000038  __TEXT,__text  sub  sub_27e7e3070
0x000000027e7e30a8  0x0000002c  __TEXT,__text  sub  sub_27e7e30a8
0x000000027e7e30d4  0x00000024  __TEXT,__text  sub  sub_27e7e30d4
0x000000027e7e30f8  0x00000038  __TEXT,__text  func  __swift_project_value_buffer
