//
//     Generated by class-dump 3.5 (64 bit) — routine listing.
//
// image:   /var/folders/hq/s7n8_wx50wd3vxklqrz_yt6m0000gn/T/class-dump-dsc-E97277E0-AA93-4B8F-8728-7A7EC5985FC6/usr/lib/libDisplayWarpSupport.dylib
// arch:    arm64e
// uuid:    A71BF557-6A8A-3089-9DF9-83689D900FFE
// text:    0x00000002832b0000
// count:   2813 routines
//
// columns: addr  size  segment,section  kind  name [demangled] [objc-binding]
//
0x00000002832b2d30  0x00000090  __TEXT,__text  cxx  __ZN3dws36make_bora_warper_region_pixel_shiftsENS_22BoraWarperArchitectureE  // dws::make_bora_warper_region_pixel_shifts(dws::BoraWarperArchitecture)
0x00000002832b2dc0  0x000000ac  __TEXT,__text  cxx  __ZN3dws35make_bora_graphics_warper_registersENS_14BoraGenerationERKNS_3vecIiLi2EEES4_  // dws::make_bora_graphics_warper_registers(dws::BoraGeneration, dws::vec<int, 2> const&, dws::vec<int, 2> const&)
0x00000002832b2e6c  0x0000003c  __TEXT,__text  cxx  __ZN3dws25compute_input_coord_scaleERKNS_3vecIiLi2EEES3_  // dws::compute_input_coord_scale(dws::vec<int, 2> const&, dws::vec<int, 2> const&)
0x00000002832b2ea8  0x00000194  __TEXT,__text  cxx  __ZN3dws40make_bora_graphics_warper_bitstream_infoERKNS_27BoraWarperRegionPixelShiftsERKNS_3vecIiLi2EEENS_4spanIKiEES9_  // dws::make_bora_graphics_warper_bitstream_info(dws::BoraWarperRegionPixelShifts const&, dws::vec<int, 2> const&, dws::span<int const>, dws::span<int const>)
0x00000002832b303c  0x00000184  __TEXT,__text  cxx  __ZN3dws55compute_bora_virtual_axis_from_virtual_space_boundariesEiNS_4spanIKiEE  // dws::compute_bora_virtual_axis_from_virtual_space_boundaries(int, dws::span<int const>)
0x00000002832b31c0  0x0000000c  __TEXT,__text  cxx  __ZN3dws16divide_and_roundEii  // dws::divide_and_round(int, int)
0x00000002832b31cc  0x0000001c  __TEXT,__text  cxx  __ZN3dws24compute_virt_coord_scaleEii  // dws::compute_virt_coord_scale(int, int)
0x00000002832b31e8  0x00000018  __TEXT,__text  cxx  __ZN3dws30multiply_fixed_point_and_roundEiii  // dws::multiply_fixed_point_and_round(int, int, int)
0x00000002832b3200  0x000000b0  __TEXT,__text  cxx  __ZNK3dws15BoraVirtualAxis11virt_to_wsrEii  // dws::BoraVirtualAxis::virt_to_wsr(int, int) const
0x00000002832b32b0  0x0000005c  __TEXT,__text  cxx  __ZN3dws15get_tree_offsetENS_22BoraWarperArchitectureE  // dws::get_tree_offset(dws::BoraWarperArchitecture)
0x00000002832b330c  0x000000e8  __TEXT,__text  cxx  __ZN3dws28compute_quadtree_level_indexERKNS_3vecIfLi2EEE  // dws::compute_quadtree_level_index(dws::vec<float, 2> const&)
0x00000002832b33f4  0x0000004c  __TEXT,__text  cxx  __ZN3dws55convert_virtual_pixel_coordinates_to_warper_fixed_pointENS_18StructuredGridViewINS_17RegularGridLayoutEKNS_3vecIfLi2EEEEENS2_IiLi2EEES6_S6_NS0_IS1_NS2_IsLi2EEEEE  // dws::convert_virtual_pixel_coordinates_to_warper_fixed_point(dws::StructuredGridView<dws::RegularGridLayout, dws::vec<float, 2> const>, dws::vec<int, 2>, dws::vec<int, 2>, dws::vec<int, 2>, dws::StructuredGridView<dws::RegularGridLayout, dws::vec<short, 2>>)
0x00000002832b3440  0x000002f0  __TEXT,__text  cxx  __ZN3dws55convert_virtual_pixel_coordinates_to_warper_fixed_pointENS_18StructuredGridViewINS_17RegularGridLayoutEKNS_3vecIfLi2EEEEENS2_IiLi2EEES6_S6_S6_NS0_IS1_NS2_IsLi2EEEEE  // dws::convert_virtual_pixel_coordinates_to_warper_fixed_point(dws::StructuredGridView<dws::RegularGridLayout, dws::vec<float, 2> const>, dws::vec<int, 2>, dws::vec<int, 2>, dws::vec<int, 2>, dws::vec<int, 2>, dws::StructuredGridView<dws::RegularGridLayout, dws::vec<short, 2>>)
0x00000002832b3730  0x00000058  __TEXT,__text  cxx  __ZN3dws53convert_input_pixel_coordinates_to_warper_fixed_pointENS_18StructuredGridViewINS_17RegularGridLayoutEKNS_3vecIfLi2EEEEENS2_IiLi2EEES6_NS0_IS1_NS2_IsLi2EEEEE  // dws::convert_input_pixel_coordinates_to_warper_fixed_point(dws::StructuredGridView<dws::RegularGridLayout, dws::vec<float, 2> const>, dws::vec<int, 2>, dws::vec<int, 2>, dws::StructuredGridView<dws::RegularGridLayout, dws::vec<short, 2>>)
0x00000002832b3788  0x000000a8  __TEXT,__text  cxx  __ZN3dws26create_warp_grid_converterERKNS_27BoraGraphicsWarperRegistersERKNS_27BoraWarperRegionPixelShiftsERKNS_17RegularGridLayoutEPNS_10MemoryPoolE  // dws::create_warp_grid_converter(dws::BoraGraphicsWarperRegisters const&, dws::BoraWarperRegionPixelShifts const&, dws::RegularGridLayout const&, dws::MemoryPool*)
0x00000002832b3830  0x0000007c  __TEXT,__text  cxx  __ZN3dws7destroyEPKNS_17WarpGridConverterE  // dws::destroy(dws::WarpGridConverter const*)
0x00000002832b38ac  0x000002ac  __TEXT,__text  cxx  __ZN3dws63compute_bora_graphics_warper_relative_offsets_uniform_grid_slowEPKNS_17WarpGridConverterENS_18StructuredGridViewINS_17RegularGridLayoutEKNS_3vecIfLi2EEEEERKNS_3matIfLi3EEERKNS_4RectERKNS_23BoraWarperBitstreamInfoENS3_IS4_NS5_IsLi2EEEEE  // dws::compute_bora_graphics_warper_relative_offsets_uniform_grid_slow(dws::WarpGridConverter const*, dws::StructuredGridView<dws::RegularGridLayout, dws::vec<float, 2> const>, dws::mat<float, 3> const&, dws::Rect const&, dws::BoraWarperBitstreamInfo const&, dws::StructuredGridView<dws::RegularGridLayout, dws::vec<short, 2>>)
0x00000002832b3b58  0x00000114  __TEXT,__text  cxx  __ZN3dws45compute_bora_graphics_warper_ignore_grid_slowENS_18StructuredGridViewINS_17RegularGridLayoutEKfEEfNS0_IS1_hEE  // dws::compute_bora_graphics_warper_ignore_grid_slow(dws::StructuredGridView<dws::RegularGridLayout, float const>, float, dws::StructuredGridView<dws::RegularGridLayout, unsigned char>)
0x00000002832b3c6c  0x000005b4  __TEXT,__text  cxx  __ZN3dws58compute_bora_graphics_warper_relative_offsets_uniform_gridEPKNS_17WarpGridConverterENS_18StructuredGridViewINS_17RegularGridLayoutEKNS_3vecIfLi2EEEEERKNS_3matIfLi3EEERKNS_4RectERKNS_23BoraWarperBitstreamInfoENS3_IS4_NS5_IsLi2EEEEE  // dws::compute_bora_graphics_warper_relative_offsets_uniform_grid(dws::WarpGridConverter const*, dws::StructuredGridView<dws::RegularGridLayout, dws::vec<float, 2> const>, dws::mat<float, 3> const&, dws::Rect const&, dws::BoraWarperBitstreamInfo const&, dws::StructuredGridView<dws::RegularGridLayout, dws::vec<short, 2>>)
0x00000002832b4220  0x00000044  __TEXT,__text  cxx  __ZN3dws66compute_bora_graphics_warper_intermediate_coordinates_uniform_gridEPKNS_17WarpGridConverterENS_18StructuredGridViewINS_17RegularGridLayoutEKNS_3vecIfLi2EEEEERKNS_3matIfLi3EEERKNS_4RectERKNS_23BoraWarperBitstreamInfoENS3_IS4_NS5_IiLi2EEEEE  // dws::compute_bora_graphics_warper_intermediate_coordinates_uniform_grid(dws::WarpGridConverter const*, dws::StructuredGridView<dws::RegularGridLayout, dws::vec<float, 2> const>, dws::mat<float, 3> const&, dws::Rect const&, dws::BoraWarperBitstreamInfo const&, dws::StructuredGridView<dws::RegularGridLayout, dws::vec<int, 2>>)
0x00000002832b4264  0x00000528  __TEXT,__text  cxx  __ZN3dwsL53compute_bora_graphics_warper_fixed_point_uniform_gridINS_10int_policyEEEvPKNS_17WarpGridConverterENS_18StructuredGridViewINS_17RegularGridLayoutEKNS_3vecIfLi2EEEEERKNS_3matIfLi3EEERKNS_4RectERKNS_23BoraWarperBitstreamInfoENS5_IS6_NT_10value_typeEEEb  // void dws::compute_bora_graphics_warper_fixed_point_uniform_grid<dws::int_policy>(dws::WarpGridConverter const*, dws::StructuredGridView<dws::RegularGridLayout, dws::vec<float, 2> const>, dws::mat<float, 3> const&, dws::Rect const&, dws::BoraWarperBitstreamInfo const&, dws::StructuredGridView<dws::RegularGridLayout, dws::int_policy::value_type>, bool)
0x00000002832b478c  0x00000044  __TEXT,__text  cxx  __ZN3dws61compute_bora_graphics_warper_virtual_coordinates_uniform_gridEPKNS_17WarpGridConverterENS_18StructuredGridViewINS_17RegularGridLayoutEKNS_3vecIfLi2EEEEERKNS_3matIfLi3EEERKNS_4RectERKNS_23BoraWarperBitstreamInfoENS3_IS4_NS5_IiLi2EEEEE  // dws::compute_bora_graphics_warper_virtual_coordinates_uniform_grid(dws::WarpGridConverter const*, dws::StructuredGridView<dws::RegularGridLayout, dws::vec<float, 2> const>, dws::mat<float, 3> const&, dws::Rect const&, dws::BoraWarperBitstreamInfo const&, dws::StructuredGridView<dws::RegularGridLayout, dws::vec<int, 2>>)
0x00000002832b47d0  0x00000338  __TEXT,__text  cxx  __ZN3dws40compute_bora_graphics_warper_ignore_gridENS_18StructuredGridViewINS_17RegularGridLayoutEKfEEfNS0_IS1_hEE  // dws::compute_bora_graphics_warper_ignore_grid(dws::StructuredGridView<dws::RegularGridLayout, float const>, float, dws::StructuredGridView<dws::RegularGridLayout, unsigned char>)
0x00000002832b4b08  0x0000016c  __TEXT,__text  cxx  __ZN3dws25compute_bora_virtual_axisEiNS_4spanIKiEE  // dws::compute_bora_virtual_axis(int, dws::span<int const>)
0x00000002832b4c74  0x000003d0  __TEXT,__text  cxx  __ZN3dws35decode_bora_warper_bitstream_headerENS_22BoraWarperArchitectureEPKh  // dws::decode_bora_warper_bitstream_header(dws::BoraWarperArchitecture, unsigned char const*)
0x00000002832b5044  0x00000004  __TEXT,__text  cxx  __ZN3dws28decode_bora_warper_bitstreamERKNS_25BoraWarperBitstreamHeaderEPNS_3vecIsLi2EEEPhPKNS_29BoraWarperInterpolationMethodE  // dws::decode_bora_warper_bitstream(dws::BoraWarperBitstreamHeader const&, dws::vec<short, 2>*, unsigned char*, dws::BoraWarperInterpolationMethod const*)
0x00000002832b5048  0x0000048c  __TEXT,__text  cxx  __ZN3dws33decode_bora_warper_bitstream_implINS_3vecIsLi2EEEEEvRKNS_25BoraWarperBitstreamHeaderEPT_PhPKNS_29BoraWarperInterpolationMethodE  // void dws::decode_bora_warper_bitstream_impl<dws::vec<short, 2>>(dws::BoraWarperBitstreamHeader const&, dws::vec<short, 2>*, unsigned char*, dws::BoraWarperInterpolationMethod const*)
0x00000002832b54d4  0x00000004  __TEXT,__text  cxx  __ZN3dws28decode_bora_warper_bitstreamERKNS_25BoraWarperBitstreamHeaderEPNS_3vecIiLi2EEEPhPKNS_29BoraWarperInterpolationMethodE  // dws::decode_bora_warper_bitstream(dws::BoraWarperBitstreamHeader const&, dws::vec<int, 2>*, unsigned char*, dws::BoraWarperInterpolationMethod const*)
